carlton,,,carl,ton,
carlton south,,,carl,ton,south
carlton north,,,carl,ton,north
docklands,,,dock,lands,
east melbourne,east,,mel,bourne,
jolimont,,,joli,mont,
flemington,,,fleming,ton,
kensington,,,kensing,ton,
melbourne,,,mel,bourne,
north melbourne,north,,mel,bourne,
parkville,,,park,ville,
port melbourne,port,,mel,bourne,
fishermans bend,,,fisher,mans,bend
garden city,,,garden,,city
southbank,,south,bank,,
south wharf,south,,wharf,,
south yarra,south,,yarra,,
west melbourne,west,,mel,bourne,
coode island,,,coode,,island
albert park,,,albert,,park
balaclava,,,balaclava,,
elwood,,,el,wood,
melbourne,,,mel,bourne,
middle park,,,middle,,park
beacon cove,,,beacon,,cove
sandridge,,,sand,ridge,
ripponlea,,,rippon,lea,
st kilda,st,,kilda,,
st kilda east,st,,kilda,,east
st kilda west,st,,kilda,,west
south melbourne,south,,mel,bourne,
emerald hill,,,emerald,,hill
montague,,,montague,,
abbotsford,,,abbots,ford,
alphington,,,alphing,ton,
burnley,,,burn,ley,
north carlton,north,,carl,ton,
clifton hill,,,clif,ton,hill
collingwood,,,colling,wood,
collingwood north,,,colling,wood,north
cremourne,,,cre,mourne,
richmond east,,,rich,mond,east
fairfield,,,fair,field,
yarra bend,,,yarra,,bend
fitzroy,,,fitz,roy,
eastern hill,,,eastern,,hill
fitzroy south,,,fitz,roy,south
fitzroy north,,,fitz,roy,north
north fitzroy,north,,fitz,roy,
rushall,,,rushall,,
princess hill,,,princess,,hill
richmond,,,rich,mond,
burnley north,,,burn,ley,north
north richmond,north,,rich,mond,
richmond south,,,rich,mond,south
victoria gardens,,,victoria,,gardens
west richmond,west,,rich,mond,
bellfield,,,bell,field,
briar hill,,,briar,,hill
bundoora,,,bundoora,,
greenwood village,,,green,wood,village
janefield,,,jane,field,
larundel,,,larun,del,
polaris,,,polaris,,
eaglemont,,,eagle,mont,
eltham,,,eltham,,
eltham north,,,eltham,,north
greensborough,,,greens,borough,
apollo parkways,,,apollo,,parkways
grace park,,,grace,,park
green hills,,,green,,hills
heidelberg,,,heidel,berg,
heidelberg heights,,,heidel,berg,heights
heidelberg north,,,heidel,berg,north
heidelberg west,,,heidel,berg,west
ivanhoe,,,ivan,hoe,
darebin,,,darebin,,
fairy hills,,,fairy,,hills
ivanhoe east,,,ivan,hoe,east
lower plenty,lower,,plenty,,
macleod,,,macleod,,
mont park,,,mont,,park
macleod west,,,macleod,,west
montmorency,,,mont,morency,
rosanna,,,rosanna,,
banyule,,,banyule,,
st helena,st,,helena,,
viewbank,,,viewbank,,
rosanna east,,,rosanna,,east
watsonia,,,watsonia,,
watsonia north,,,watsonia,,north
yallambie,,,yallambie,,
mount cooper,mount,,cooper,,
coburg,,,co,burg,
coburg north,,,co,burg,north
kingsbury,,,kings,bury,
northcote,,,north,cote,
croxton east,,,crox,ton,east
northcote south,,north,cote,,south
rucker’s hill,,,rucker,'s,hill
preston,,,pres,ton,
darebin park,,,darebin,,park
gilberton,,,gilber,ton,
northland,,north,land,,
preston lake,,,pres,ton,lake
preston west,,,pres,ton,west
regent west,,,regent,,west
south preston,,south,pres,ton,
sylvester,,,sylvester,,
reservoir,,,reservoir,,
gilbank,,,gil,bank,
regent,,,regent,,
regent east,,,regent,,east
regent north,,,regent,,north
regent south,,,regent,,south
